tip,id_ploshadki,servisnyy_id,adres_razmeshcheniya,rayon,id_sk1,naimenovanie_sk1,status_oborudovaniya1,tip_sk_po_dogovoru1,id_sk2,naimenovanie_sk2,status_oborudovaniya2,tip_sk_po_dogovoru2,id_sk3,naimenovanie_sk3,status_oborudovaniya3,tip_sk_po_dogovoru3,id_sk4,naimenovanie_sk4,status_oborudovaniya4,tip_sk_po_dogovoru4,id_sk5,naimenovanie_sk5,status_oborudovaniya5,tip_sk_po_dogovoru5,planovaya_data_1_kv_2026,id_sk6,naimenovanie_sk6,status_oborudovaniya6,tip_sk_po_dogovoru6
УД,196614426,EMTS1727,"г. Сестрорецк, ул. Пушкинская, д.8",Курортный,208386725,Daikin внутр.FT25CV1A8/внеш.R25CV1A,Активирован,1,208386727,Daikin внутр.FT25CV1A8/внеш.R25CV1A,Активирован,1,,,,,,,,,,,,,20260209,,,,
УД,196614447,EMTS829,"г. Зеленогорск, пр. Ленина, д.12",Курортный,210300874,Daikin внутр.FT25CV1A8/внеш.R25CV1A,Активирован,1,210300876,Daikin внутр.FT25CV1A8/внеш.R25CV1A,Активирован,1,,,,,,,,,,,,,20260204,,,,
УД,196614460,EMTS3713,"г. Зеленогорск, пр. Ленина, д.8",Курортный,210300849,Daikin внутр.FT25DVM/внеш.R25DV1,Активирован,1,210300847,Daikin внутр.FT25DVM/внеш.R25DV1,Активирован,1,,,,,,,,,,,,,20260204,,,,
УД,196614480,EMTS834,"г. Колпино, ул. Веры Слуцкой, д.32",Колпинский,208386469,Panasonic внутр.CS-C9GKD/внеш.CU-C9GKD,Активирован,1,208386471,Panasonic внутр.CS-C9GKD/внеш.CU-C9GKD,Активирован,1,,,,,,,,,,,,,20260224,,,,
УД,196614483,EMTS836,"г. Колпино, ул. Веры Слуцкой, д.50",Колпинский,208386473,Panasonic внутр.CS-C9GKD/внеш.CU-C9GKD,Активирован,1,208386475,Mitsubishi Electric внутр.SRK28HG-S/внеш.SRС28HG-S,Активирован,1,,,,,,,,,,,,,20260224,,,,
УД,196614507,EMTS1568,"г. Колпино, пр. Заводской, д.56",Колпинский,208385983,Daikin внутр.FT25CV1A8/внеш.R25CV1A,Активирован,1,208385985,Daikin внутр.FT25CV1A8/внеш.R25DV1,Активирован,1,,,,,,,,,,,,,20260224,,,,
УД,196614526,EMTS1570,"г. Колпино, ул. Ижорского Батальона, д.21",Колпинский,208385987,Daikin внутр.FT25CV1A8/внеш.R25CV1A,Активирован,1,208385989,Daikin внутр.FT25CV1A8/внеш.R25CV1A,Активирован,1,,,,,,,,,,,,,20260304,,,,
УД,196614555,EMTS1571,"г. Колпино, ул. Культуры, д.16",Колпинский,208385991,Daikin внутр.FT25CV1A8/внеш.R25CV1A,Активирован,1,244350675,Kentatsu внутр.KSGA26HFAN1/внеш.KSRA26HFAN1,Активирован,1,208385993,Daikin внутр.FT25CV1A8/внеш.R25CV1A,На складе,1,,,,,,,,,20260304,,,,
УД,196614575,EMTS833,"г. Колпино, пр. Ленина, д.46",Колпинский,208386467,Daikin внутр.FT25DVM/внеш.R25DV1,Активирован,1,,,,,,,,,,,,,,,,,20260224,,,,
УД,196614679,EMTS1572,"г. Колпино, ул. Труда, д.6",Колпинский,208385995,Daikin внутр.FTY25GXV1/внеш.RY25GXV1,Активирован,1,208385997,Daikin внутр.FTY25GXV1/внеш.RY25GXV1,Активирован,1,,,,,,,,,,,,,20260224,,,,
